nParticles, angle, timeTree, timeFull, error, interaction
1.000000000000000000e+01,2.000000000000000111e-01,2.467155456542968750e-03,2.478599548339843750e-03,0.000000000000000000e+00,3.300000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e-01,2.336502075195312500e-03,2.347707748413085938e-03,0.000000000000000000e+00,2.500000000000000000e+01
1.000000000000000000e+01,5.999999999999999778e-01,3.436326980590820312e-03,3.447532653808593750e-03,4.533325811862796116e-03,2.900000000000000000e+01
2.000000000000000000e+01,2.000000000000000111e-01,1.553320884704589844e-02,1.554441452026367188e-02,3.301995987653653475e-04,7.259999999999999432e+01
2.000000000000000000e+01,5.000000000000000000e-01,1.311206817626953125e-02,1.312327384948730469e-02,1.573086459867725512e-03,5.700000000000000000e+01
2.000000000000000000e+01,5.999999999999999778e-01,1.511573791503906250e-02,1.512718200683593750e-02,5.701617877173230722e-03,5.739999999999999858e+01
3.000000000000000000e+01,2.000000000000000111e-01,2.582836151123046875e-02,2.583980560302734375e-02,0.000000000000000000e+00,9.700000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e-01,3.392696380615234375e-02,3.393864631652832031e-02,3.680620789039116929e-03,8.259999999999999432e+01
3.000000000000000000e+01,5.999999999999999778e-01,2.467322349548339844e-02,2.468466758728027344e-02,6.837521415565152652e-03,6.526666666666666572e+01
nParticles, angle, timeTree, timeFull, error, interaction
1.000000000000000000e+01,2.000000000000000111e-01,2.591848373413085938e-03,2.603292465209960938e-03,0.000000000000000000e+00,3.300000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e-01,5.150079727172851562e-03,5.161523818969726562e-03,1.514688698968216785e-02,5.379999999999999716e+01
1.000000000000000000e+01,5.999999999999999778e-01,3.324508666992187500e-03,3.335714340209960938e-03,5.126688014577054746e-03,3.539999999999999858e+01
2.000000000000000000e+01,2.000000000000000111e-01,1.332640647888183594e-02,1.333761215209960938e-02,0.000000000000000000e+00,8.100000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e-01,1.669549942016601562e-02,1.670670509338378906e-02,3.822079365396789576e-03,6.220000000000000284e+01
2.000000000000000000e+01,5.999999999999999778e-01,8.960008621215820312e-03,8.971452713012695312e-03,1.647605775575856479e-03,4.660000000000000142e+01
3.000000000000000000e+01,2.000000000000000111e-01,3.229761123657226562e-02,3.230929374694824219e-02,0.000000000000000000e+00,1.290000000000000000e+02
3.000000000000000000e+01,5.000000000000000000e-01,2.820420265197753906e-02,2.821588516235351562e-02,6.795800498970614237e-03,8.046666666666666856e+01
3.000000000000000000e+01,5.999999999999999778e-01,2.582097053527832031e-02,2.583241462707519531e-02,8.511756634026704932e-03,6.926666666666666572e+01
